1081185028 : 	50	0	0	28	0	0	0	31	
1081686024 : 	50	0	0	28	0	0	0	4	
1082188368 : 	50	0	0	28	0	0	0	13	
1082992468 : 	50	0	0	28	0	0	0	13	
1085402728 : 	50	0	0	28	0	0	0	13	
1085503028 : 	50	0	0	28	0	0	0	22	
1085805116 : 	50	0	0	28	0	0	0	13	
1086006736 : 	50	0	0	28	0	0	0	31	
1086608028 : 	50	0	0	28	0	0	0	13	
1086909096 : 	50	0	0	28	0	0	0	4	
1087311232 : 	50	0	0	28	0	0	0	4	
1088318056 : 	50	0	0	28	0	0	0	22	
1089626548 : 	50	0	0	28	0	0	0	31	
1090027236 : 	50	0	0	28	0	0	0	31	
1090830232 : 	50	0	0	28	0	0	0	31	
1090930108 : 	50	0	0	28	0	0	0	4	
1093442712 : 	50	0	0	28	0	0	0	13	
1094345924 : 	50	0	0	28	0	0	0	22	
1094546348 : 	50	0	0	28	0	0	0	4	
1095550120 : 	50	0	0	28	0	0	0	22	
1095652460 : 	50	0	0	28	0	0	0	31	
1095853476 : 	50	0	0	28	0	0	0	13	
1096658768 : 	50	0	0	28	0	0	0	13	
1097159672 : 	50	0	0	28	0	0	0	22	
1097963092 : 	50	0	0	28	0	0	0	22	
1099370268 : 	50	0	0	28	0	0	0	4	
1099471076 : 	50	0	0	28	0	0	0	13	
1101983768 : 	50	0	0	28	0	0	0	22	
1102083892 : 	50	0	0	28	0	0	0	31	
1102689008 : 	50	0	0	28	0	0	0	13	
1104498232 : 	50	0	0	28	0	0	0	31	
1104699852 : 	50	0	0	28	0	0	0	13	
1105904732 : 	50	0	0	28	0	0	0	13	
1106003668 : 	50	0	0	28	0	0	0	22	
1108921468 : 	50	0	0	28	0	0	0	31	
1109021168 : 	50	0	0	28	0	0	0	4	
1109221256 : 	50	0	0	28	0	0	0	22	
1110224428 : 	50	0	0	28	0	0	0	4	
1110324896 : 	50	0	0	28	0	0	0	13	
1110425280 : 	50	0	0	28	0	0	0	22	
1112132424 : 	50	0	0	28	0	0	0	31	
1112834436 : 	50	0	0	28	0	0	0	22	
1114041948 : 	50	0	0	28	0	0	0	22	
1115046060 : 	50	0	0	28	0	0	0	4	
1115148136 : 	50	0	0	28	0	0	0	13	
1116152156 : 	50	0	0	28	0	0	0	31	
1116854432 : 	50	0	0	28	0	0	0	22	
1122081164 : 	50	0	0	28	0	0	0	22	
1122281600 : 	50	0	0	28	0	0	0	4	
1122586316 : 	50	0	0	28	0	0	0	31	
1124493384 : 	50	0	0	28	0	0	0	22	
1125197600 : 	50	0	0	28	0	0	0	13	
1128312512 : 	50	0	0	28	0	0	0	4	
1128613244 : 	50	0	0	28	0	0	0	31	
1128813500 : 	50	0	0	28	0	0	0	13	
1129014016 : 	50	0	0	28	0	0	0	31	
1129314660 : 	50	0	0	28	0	0	0	22	
1130021524 : 	50	0	0	28	0	0	0	13	
1131625812 : 	50	0	0	28	0	0	0	13	
1131926884 : 	50	0	0	28	0	0	0	4	
1134137732 : 	50	0	0	28	0	0	0	22	
1134439736 : 	50	0	0	28	0	0	0	13	
1135243156 : 	50	0	0	28	0	0	0	13	
1137052636 : 	50	0	0	28	0	0	0	31	
1142375336 : 	50	0	0	28	0	0	0	4	
1143079732 : 	50	0	0	28	0	0	0	31	
1143582080 : 	50	0	0	28	0	0	0	4	
1143884344 : 	50	0	0	28	0	0	0	31	
1145389352 : 	50	0	0	28	0	0	0	22	
1148804820 : 	50	0	0	28	0	0	0	4	
1150212420 : 	50	0	0	28	0	0	0	22	
1150915880 : 	50	0	0	28	0	0	0	13	
1153428144 : 	50	0	0	28	0	0	0	22	
1153528960 : 	50	0	0	28	0	0	0	31	
1153628828 : 	50	0	0	28	0	0	0	4	
1154733740 : 	50	0	0	28	0	0	0	31	
1156442752 : 	50	0	0	28	0	0	0	4	
1157148420 : 	50	0	0	28	0	0	0	31	
1158351596 : 	50	0	0	28	0	0	0	31	
1158956456 : 	50	0	0	28	0	0	0	13	
1159557408 : 	50	0	0	28	0	0	0	31	
1160863008 : 	50	0	0	28	0	0	0	4	
1160963816 : 	50	0	0	28	0	0	0	13	
1163677356 : 	50	0	0	28	0	0	0	4	
1167698032 : 	50	0	0	28	0	0	0	4	
1168000040 : 	50	0	0	28	0	0	0	31	
1168703916 : 	50	0	0	28	0	0	0	22	
1169305548 : 	50	0	0	28	0	0	0	4	
1171618140 : 	50	0	0	28	0	0	0	31	
1172118876 : 	50	0	0	28	0	0	0	4	
1174129040 : 	50	0	0	28	0	0	0	4	
1174530076 : 	50	0	0	28	0	0	0	4	
1175234644 : 	50	0	0	28	0	0	0	31	
1176240528 : 	50	0	0	28	0	0	0	13	
1176740928 : 	50	0	0	28	0	0	0	22	
1177044712 : 	50	0	0	28	0	0	0	13	
1178249588 : 	50	0	0	28	0	0	0	13	
1180061616 : 	50	0	0	28	0	0	0	31	
1181064872 : 	50	0	0	28	0	0	0	13	
1184681032 : 	50	0	0	28	0	0	0	13	
1185784240 : 	50	0	0	28	0	0	0	4	
1188097100 : 	50	0	0	28	0	0	0	31	
1190710424 : 	50	0	0	28	0	0	0	13	
1190810036 : 	50	0	0	28	0	0	0	22	
1191516388 : 	50	0	0	28	0	0	0	13	
1192821224 : 	50	0	0	28	0	0	0	22	
1195936048 : 	50	0	0	28	0	0	0	13	
1196539124 : 	50	0	0	28	0	0	0	31	
1198146304 : 	50	0	0	28	0	0	0	31	
1200758096 : 	50	0	0	28	0	0	0	13	
1200859168 : 	50	0	0	28	0	0	0	22	
1200960396 : 	50	0	0	28	0	0	0	31	
1201162364 : 	50	0	0	28	0	0	0	13	
1203973732 : 	50	0	0	28	0	0	0	13	
1206384416 : 	50	0	0	28	0	0	0	13	
1207085668 : 	50	0	0	28	0	0	0	4	
1207186308 : 	50	0	0	28	0	0	0	13	
1207387844 : 	50	0	0	28	0	0	0	31	
1208192280 : 	50	0	0	28	0	0	0	31	
1209797508 : 	50	0	0	28	0	0	0	31	
1210500884 : 	50	0	0	28	0	0	0	22	
1211506008 : 	50	0	0	28	0	0	0	4	
1213014084 : 	50	0	0	28	0	0	0	31	
1213215016 : 	50	0	0	28	0	0	0	13	
1213314636 : 	50	0	0	28	0	0	0	22	
1214218696 : 	50	0	0	28	0	0	0	31	
1214920032 : 	50	0	0	28	0	0	0	22	
1215626808 : 	50	0	0	28	0	0	0	13	
1216327036 : 	50	0	0	28	0	0	0	4	
1217432800 : 	50	0	0	28	0	0	0	31	
1218135752 : 	50	0	0	28	0	0	0	22	
1220347452 : 	50	0	0	28	0	0	0	4	
1220547456 : 	50	0	0	28	0	0	0	22	
1220949172 : 	50	0	0	28	0	0	0	22	
1221653136 : 	50	0	0	28	0	0	0	13	
1222256728 : 	50	0	0	28	0	0	0	31	
1223562068 : 	50	0	0	28	0	0	0	4	
1224768388 : 	50	0	0	28	0	0	0	4	
1226277136 : 	50	0	0	28	0	0	0	31	
1226377096 : 	50	0	0	28	0	0	0	4	
1227282348 : 	50	0	0	28	0	0	0	13	
1229391792 : 	50	0	0	28	0	0	0	22	
1229692860 : 	50	0	0	28	0	0	0	13	
1229792908 : 	50	0	0	28	0	0	0	22	
1229893972 : 	50	0	0	28	0	0	0	31	
1230196920 : 	50	0	0	28	0	0	0	22	
1230297552 : 	50	0	0	28	0	0	0	31	
1230498068 : 	50	0	0	28	0	0	0	13	
1232005456 : 	50	0	0	28	0	0	0	4	
1233111560 : 	50	0	0	28	0	0	0	31	
1238234768 : 	50	0	0	28	0	0	0	22	
1238337532 : 	50	0	0	28	0	0	0	31	
1238940184 : 	50	0	0	28	0	0	0	13	
1239342240 : 	50	0	0	28	0	0	0	13	
1241050560 : 	50	0	0	28	0	0	0	22	
1241451168 : 	50	0	0	28	0	0	0	22	
1242758044 : 	50	0	0	28	0	0	0	31	
1242959660 : 	50	0	0	28	0	0	0	13	
1246173348 : 	50	0	0	28	0	0	0	13	
1246575136 : 	50	0	0	28	0	0	0	13	
1246776248 : 	50	0	0	28	0	0	0	31	
